Np,UCarea,t2,aniso,twist,gap
8,25,-0.16,1.0,0,1.0843750376798855e-09
8,25,-0.15,1.0,0,1.239142495210177e-08
8,25,-0.14,1.0,0,9.826925037592638e-09
8,25,-0.13,1.0,0,2.336299990274293e-09
8,25,-0.12,1.0,0,1.040225006826434e-08
8,25,-0.11,1.0,0,5.1291000092990036e-09
8,25,-0.1,1.0,0,4.371149969761845e-09
8,25,-0.09,1.0,0,6.663999213563088e-10
8,25,-0.08,1.0,0,2.0854249750679177e-09
8,25,-0.07,1.0,0,3.2536499536273134e-09
8,25,-0.06,1.0,0,3.543644550001862e-05
8,25,-0.05,1.0,0,8.651486390004806e-05
8,25,-0.04,1.0,0,0.00013906107797501122
8,25,-0.03,1.0,0,0.0001931107185750014
8,25,-0.02,1.0,0,0.0002487004331750038
8,25,-0.01,1.0,0,0.0003058650876499626
8,25,0.0,1.0,0,0.0003646289434749983
8,36,-0.25,1.0,0,1.9990809008163524e-10
8,36,-0.24,1.0,0,1.079280415039463e-10
8,36,-0.23,1.0,0,0.615607704466262
8,36,-0.22,1.0,0,0.615634012305268
8,36,-0.21,1.0,0,1.8367207754721449e-10
8,36,-0.2,1.0,0,3.295080458487476e-10
8,36,-0.19,1.0,0,1.2103363259879929e-05
8,36,-0.18,1.0,0,3.2094712728095165e-05
8,36,-0.17,1.0,0,5.272886393989373e-05
8,36,-0.16,1.0,0,7.403314683596118e-05
8,36,-0.15,1.0,0,9.604142467199706e-05
8,36,-0.14,1.0,0,0.00011878713003594943
8,36,-0.13,1.0,0,0.00014230513065602302
8,36,-0.12,1.0,0,0.000166631431140013
8,36,-0.11,1.0,0,0.00019181015157600234
8,36,-0.1,1.0,0,0.00021787916698798315
8,36,-0.09,1.0,0,0.00024488279481604813
8,36,-0.08,1.0,0,0.0002728753514279758
8,36,-0.07,1.0,0,0.00030189821597999267
8,36,-0.06,1.0,0,0.0003320110663559833
8,36,-0.05,1.0,0,0.0003632669362080426
8,36,-0.04,1.0,0,0.0003957240774599552
8,36,-0.03,1.0,0,0.0004294399827959594
8,36,-0.02,1.0,0,0.0004644872980200526
8,36,-0.01,1.0,0,0.0005009260533480331
8,36,0.0,1.0,0,0.0005388256049759371
8,49,-0.25,1.0,0,0.00021474364052406596
8,49,-0.24,1.0,0,0.00022512420163800853
8,49,-0.23,1.0,0,0.00023584610395501263
8,49,-0.22,1.0,0,0.0002469186326810105
8,49,-0.21,1.0,0,0.00025836112909598946
8,49,-0.2,1.0,0,0.0002701952938790487
8,49,-0.19,1.0,0,0.0002824403802570031
8,49,-0.18,1.0,0,0.00029511550969600446
8,49,-0.17,1.0,0,0.00030824311836499113
8,49,-0.16,1.0,0,0.0003218491841040106
8,49,-0.15,1.0,0,0.00033595704865107233
8,49,-0.14,1.0,0,0.0003506006685160285
8,49,-0.13,1.0,0,0.0003658004338240022
8,49,-0.12,1.0,0,0.00038159891675500907
8,49,-0.11,1.0,0,0.0003980214594230796
8,49,-0.1,1.0,0,0.00041511093026199916
8,49,-0.09,1.0,0,0.00043290765205797853
8,49,-0.08,1.0,0,0.00045144796629802315
8,49,-0.07,1.0,0,0.00047078450030501283
8,49,-0.06,1.0,0,0.0004909625471309926
8,49,-0.05,1.0,0,0.0005120369598260333
8,49,-0.04,1.0,0,0.0005340678091070115
8,49,-0.03,1.0,0,0.0005571161924370072
8,49,-0.02,1.0,0,0.0005812500517950389
8,49,-0.01,1.0,0,0.0006065431102289538
8,49,0.0,1.0,0,0.0006330678538309584
8,64,-0.25,1.0,0,0.00039301434959360115
8,64,-0.24,1.0,0,0.00040009304318089356
8,64,-0.23,1.0,0,0.0004074168811903922
8,64,-0.22,1.0,0,0.00041499966197755533
8,64,-0.21,1.0,0,0.00042284882043519545
8,64,-0.2,1.0,0,0.00043098468282887215
8,64,-0.19,1.0,0,0.00043942231550719857
8,64,-0.18,1.0,0,0.00044817838327682047
8,64,-0.17,1.0,0,0.0004572695962752338
8,64,-0.16,1.0,0,0.00046671879377280234
8,64,-0.15,1.0,0,0.00047654125176965767
8,64,-0.14,1.0,0,0.00048676124046076463
8,64,-0.13,1.0,0,0.0004974055310463799
8,64,-0.12,1.0,0,0.0005084999355776665
8,64,-0.11,1.0,0,0.0005200744117120903
8,64,-0.1,1.0,0,0.0005321553361919973
8,64,-0.09,1.0,0,0.0005447827668799698
