Np,UCarea,t2,aniso,twist,gap
8,49,-0.13,1.0,0.0,0.6079328990446493
8,49,-0.12,1.0,0.0,0.60833417160562
8,49,-0.11,1.0,0.0,0.6087748705264261
8,49,-0.1,1.0,0.0,0.6092547817404916
8,49,-0.09,1.0,0.0,0.609773515637852
8,49,-0.08,1.0,0.0,0.6103304802604068
8,49,-0.07,1.0,0.0,0.6109248511262935
8,49,-0.06,1.0,0.0,0.6115555365488852
8,49,-0.05,1.0,0.0,0.6122211391588779
8,49,-0.04,1.0,0.0,0.612919911858304
8,49,-0.03,1.0,0.0,0.613649709179558
8,49,-0.02,1.0,0.0,0.6144079318930701
8,49,-0.01,1.0,0.0,0.6151914656672325
8,49,0.0,1.0,0.0,0.615996613129238
8,64,-0.25,1.0,0.0,0.6057156683601459
8,64,-0.24,1.0,0.0,0.6056808037986929
8,64,-0.23,1.0,0.0,0.6056805349186095
8,64,-0.22,1.0,0.0,0.6057155462717805
8,64,-0.21,1.0,0.0,0.6057865030923508
8,64,-0.2,1.0,0.0,0.6058940458146178
8,64,-0.19,1.0,0.0,0.6060387835374725
8,64,-0.18,1.0,0.0,0.6062212864542902
8,64,-0.17,1.0,0.0,0.6064420772855472
8,64,-0.16,1.0,0.0,0.6067016216676765
8,64,-0.15,1.0,0.0,0.6070003165941572
8,64,-0.14,1.0,0.0,0.6073384777038285
8,64,-0.13,1.0,0.0,0.6077163244552356
8,64,-0.12,1.0,0.0,0.6081339632275184
8,64,-0.11,1.0,0.0,0.6085913680014923
8,64,-0.1,1.0,0.0,0.6090883582635673
8,64,-0.09,1.0,0.0,0.609624574050911
8,64,-0.08,1.0,0.0,0.6101994469918811
8,64,-0.07,1.0,0.0,0.6108121678194682
8,64,-0.06,1.0,0.0,0.6114616489266219
8,64,-0.05,1.0,0.0,0.6121464825351018
8,64,-0.04,1.0,0.0,0.6128648923234734
8,64,-0.03,1.0,0.0,0.6136146792564754
8,64,-0.02,1.0,0.0,0.6143931603354132
8,64,-0.01,1.0,0.0,1.3862392136965163e-14
8,64,0.0,1.0,0.0,0.6160226304096689
8,81,-0.25,1.0,0.0,0.6054438631407633
8,81,-0.24,1.0,0.0,0.6054190326022528
8,81,-0.23,1.0,0.0,0.6054287606255864
8,81,-0.22,1.0,0.0,0.6054737501679543
8,81,-0.21,1.0,0.0,0.6055546861320823
8,81,-0.2,1.0,0.0,0.6056722301127205
8,81,-0.19,1.0,0.0,0.6058270134202387
8,81,-0.18,1.0,0.0,0.6060196299482613
8,81,-0.17,1.0,0.0,0.6062506273760655
8,81,-0.16,1.0,0.0,0.606520496623013
8,81,-0.15,1.0,0.0,0.6068296618200941
8,81,-0.14,1.0,0.0,0.607178465632729
8,81,-0.13,1.0,0.0,0.6075671548627355
8,81,-0.12,1.0,0.0,0.6079958629877809
8,81,-0.11,1.0,0.0,0.6084645900394903
8,81,-0.1,1.0,0.0,0.6089731800530115
8,81,-0.09,1.0,0.0,0.6095212946123901
8,81,-0.08,1.0,0.0,0.6101083829300726
8,81,-0.07,1.0,0.0,0.6107336476155939
8,81,-0.06,1.0,0.0,0.6113960053673049
8,81,-0.05,1.0,0.0,0.6120940422324058
8,81,-0.04,1.0,0.0,0.6128259625206401
8,81,-0.03,1.0,0.0,0.6135895307272369
8,81,-0.02,1.0,0.0,0.614382005364728
8,81,-0.01,1.0,0.0,0.6152000643508341
8,81,0.0,1.0,0.0,0.6160397205283501
