Np,UCarea,t2,aniso,twist,gap
8,16,-0.08,1.0,0,0.6114311058239821
8,16,-0.07,1.0,0,0.6118519964319944
8,16,-0.06,1.0,0,0.6123086611840165
8,16,-0.05,1.0,0,0.6127997042719926
8,16,-0.04,1.0,0,0.6133235242720048
8,16,-0.03,1.0,0,0.6138782537919951
8,16,-0.02,1.0,0,0.6144618299680076
8,16,-0.01,1.0,0,0.6150718649760165
8,16,0.0,1.0,0,0.615675411488013
8,25,-0.25,1.0,0,0.6077950520249953
8,25,-0.24,1.0,0,0.60767666724999
8,25,-0.23,1.0,0,0.6075935655999842
8,25,-0.22,1.0,0,0.6075462315500157
8,25,-0.21,1.0,0,0.6075367418500122
8,25,-0.2,1.0,0,0.6075611653249879
8,25,-0.19,1.0,0,0.6076247269250157
8,25,-0.18,1.0,0,0.6077263330249938
8,25,-0.17,1.0,0,0.6078637286250022
8,25,-0.16,1.0,0,0.6080424434749876
8,25,-0.15,1.0,0,0.6082564318999673
8,25,-0.14,1.0,0,0.608510720925004
8,25,-0.13,1.0,0,0.60880368434999
8,25,-0.12,1.0,0,0.6091352949999962
8,25,-0.11,1.0,0,0.6095053236000236
8,25,-0.1,1.0,0,0.6099134618250179
8,25,-0.09,1.0,0,0.6103591996250213
8,25,-0.08,1.0,0,0.6108418849750219
8,25,-0.07,1.0,0,0.6113606296250129
8,25,-0.06,1.0,0,0.6119143801250004
8,25,-0.05,1.0,0,0.6125017329249971
8,25,-0.04,1.0,0,0.6131211339500009
8,25,-0.03,1.0,0,0.6137705792749859
8,25,-0.02,1.0,0,0.6144478309749957
8,25,-0.01,1.0,0,0.615150220549987
8,25,0.0,1.0,0,0.6158746251249791
8,36,-0.25,1.0,0,2.793598952166576e-08
8,36,-0.24,1.0,0,0.6066662845679716
8,36,-0.23,1.0,0,3.1284031365430565e-08
8,36,-0.22,1.0,0,2.3112008307180076e-08
8,36,-0.21,1.0,0,2.653199260294059e-08
8,36,-0.2,1.0,0,0.6067220500799877
8,36,-0.19,1.0,0,1.6991975826385897e-08
8,36,-0.18,1.0,0,0.6069706890480262
8,36,-0.17,1.0,0,1.695603657481115e-08
8,36,-0.16,1.0,0,0.6073726274280133
8,36,-0.15,1.0,0,3.049202490501557e-08
8,36,-0.14,1.0,0,3.430798045656047e-08
8,36,-0.13,1.0,0,1.6092023713554227e-08
8,36,-0.12,1.0,0,2.5595973340841738e-08
8,36,-0.11,1.0,0,3.7403999897378526e-08
8,36,-0.1,1.0,0,3.546001892118511e-08
8,36,-0.09,1.0,0,1.9332055956056138e-08
8,36,-0.08,1.0,0,1.9151976005105098e-08
8,36,-0.07,1.0,0,4.006804488199123e-08
8,36,-0.06,1.0,0,2.786404706967005e-08
8,36,-0.05,1.0,0,2.1383982584666228e-08
8,36,-0.04,1.0,0,3.196796427573645e-08
8,36,-0.03,1.0,0,2.8368027926717332e-08
8,36,-0.02,1.0,0,2.0952008128460875e-08
8,36,-0.01,1.0,0,3.031200890291075e-08
8,36,0.0,1.0,0,0.6159538357199921
8,49,-0.25,1.0,0,0.6061186470429938
8,49,-0.24,1.0,0,0.6060657072470352
8,49,-0.23,1.0,0,0.6060503757840419
8,49,-0.22,1.0,0,0.6060703699890642
8,49,-0.21,1.0,0,0.6061279323960527
8,49,-0.2,1.0,0,0.6062197902459499
8,49,-0.19,1.0,0,0.6063487995530181
8,49,-0.18,1.0,0,0.6065159826530113
8,49,-0.17,1.0,0,0.6067221568659971
8,49,-0.16,1.0,0,0.6069656745669914
8,49,-0.15,1.0,0,0.6072488023979989
8,49,-0.14,1.0,0,0.6075711940760478
8,49,-0.13,1.0,0,0.6079329550490247
8,49,-0.12,1.0,0,0.6083369185459944
8,49,-0.11,1.0,0,0.6087749191579732
8,49,-0.1,1.0,0,0.6092548460320177
8,49,-0.09,1.0,0,0.6097735639029338
8,49,-0.08,1.0,0,0.6103305375930166
8,49,-0.07,1.0,0,0.6109249142569997
8,49,-0.06,1.0,0,0.6115556164340159
8,49,-0.05,1.0,0,0.6122212240550304
8,49,-0.04,1.0,0,0.6129199629769531
8,49,-0.03,1.0,0,0.6136497628029911
8,49,-0.02,1.0,0,0.6144080246220209
8,49,-0.01,1.0,0,0.6151915669130013
8,49,0.0,1.0,0,0.615996679493982
8,64,-0.25,1.0,0,0.6057157480320257
8,64,-0.24,1.0,0,0.6056808703359593
8,64,-0.23,1.0,0,0.6056806133759665
8,64,-0.22,1.0,0,0.605715655872018
8,64,-0.21,1.0,0,0.6057892971520005
8,64,-0.2,1.0,0,0.6058941477759845
8,64,-0.19,1.0,0,0.6060389125119627
8,64,-0.18,1.0,0,0.6062216953599773
8,64,-0.17,1.0,0,0.6064422471680473
8,64,-0.16,1.0,0,0.6067025362559662
8,64,-0.15,1.0,0,0.6070004083840104
8,64,-0.14,1.0,0,0.607338532288054
8,64,-0.13,1.0,0,0.6077164106239934
8,64,-0.12,1.0,0,0.608134022336003
8,64,-0.11,1.0,0,0.608591424320025
8,64,-0.1,1.0,0,0.6090884336000499
8,64,-0.09,1.0,0,0.609624636864055
8,64,-0.08,1.0,0,0.6101995099520536
8,64,-0.07,1.0,0,0.610812263679918
8,64,-0.06,1.0,0,0.6114617064960157
8,64,-0.05,1.0,0,0.6121465368960344
8,64,-0.04,1.0,0,0.6128649862399698
8,64,-0.03,1.0,0,0.613614788544055
8,64,-0.02,1.0,0,0.6143932484479819
8,64,-0.01,1.0,0,0.6151971895039878
8,64,0.0,1.0,0,0.6160226933120612
8,81,-0.25,1.0,0,0.6054440076991181
8,81,-0.24,1.0,0,0.605419139483967
8,81,-0.23,1.0,0,0.6054288637770018
8,81,-0.22,1.0,0,0.6054738690779917
8,81,-0.21,1.0,0,0.6055561651589016
8,81,-0.2,1.0,0,0.6056723151089436
8,81,-0.19,1.0,0,0.6058297077478656
8,81,-0.18,1.0,0,0.6060199389210155
8,81,-0.17,1.0,0,0.6062507297909026
8,81,-0.16,1.0,0,0.6065229212190353
8,81,-0.15,1.0,0,0.6068297821050006
8,81,-0.14,1.0,0,0.6071817788639091
8,81,-0.13,1.0,0,0.607567264425013
8,81,-0.12,1.0,0,0.6079959740160241
8,81,-0.11,1.0,0,0.6084647103240162
8,81,-0.1,1.0,0,0.6089733054360256
8,81,-0.09,1.0,0,0.6095213781659776
8,81,-0.08,1.0,0,0.610108477425058
8,81,-0.07,1.0,0,0.610733754818952
8,81,-0.06,1.0,0,0.6113961564570687
8,81,-0.05,1.0,0,0.6120941412330936
8,81,-0.04,1.0,0,0.6128260906860294
8,81,-0.03,1.0,0,0.6135896614050349
8,81,-0.02,1.0,0,0.6143821812811119
8,81,-0.01,1.0,0,0.6152001710400157
8,81,0.0,1.0,0,0.616039810803013
