#  N    Kx    Ky    lambda
4 0 2 0.0016780510509549
4 0 2 0.0016089788977616
4 0 2 0.0016087596258208
4 0 2 0.0016085773457288
4 0 2 0.0016082562318761
4 0 2 0.0015454715226036
4 0 2 0.0015454198801637
4 0 2 0.0015451575848075
4 0 2 0.0015451552963978
4 0 2 0.0012666354378277
4 0 2 0.001266255038965
4 0 2 0.0012657772700283
4 0 2 0.0012654029803984
4 0 2 0.0010584625230565
4 0 2 0.0010571383021854
4 0 2 0.0010571334844381
4 0 2 0.0010558373387848
4 0 2 0.00091286821842144
4 0 2 0.00091212933192767
4 0 2 0.00091162507743123
4 0 2 0.00091088216277658
4 0 2 0.00071276844910621
4 0 2 0.00071257683126605
4 0 2 0.00071234033245202
4 0 2 0.00071214958406029
4 0 2 0.00056159095690805
4 0 2 0.00056125564652173
4 0 2 0.00056073189481535
4 0 2 0.00056039776311991
4 0 2 1.7064914388621e-09
4 0 2 1.5529444115214e-09
4 0 2 1.3627977734528e-09
4 0 2 1.3557963091517e-09
4 0 2 1.0263992810517e-09
4 0 2 1.0135702852723e-09
4 0 2 9.6836786315278e-10
4 0 2 9.2089223053646e-10
4 0 2 8.0589361600896e-10
4 0 2 7.9052999754525e-10
4 0 2 7.5058227333042e-10
4 0 2 7.1430634819934e-10
4 0 2 6.4604176525291e-10
4 0 2 6.129237481967e-10
4 0 2 5.6494276817008e-10
4 0 2 5.5837836936142e-10
4 0 2 4.7496668387018e-10
4 0 2 4.513431332058e-10
4 0 2 4.4343749533579e-10
4 0 2 4.1518566208974e-10
4 0 2 4.0742159565898e-10
4 0 2 3.9861829258253e-10
4 0 2 3.7310697960829e-10
4 0 2 3.3663283677482e-10
4 0 2 3.2328941264179e-10
4 0 2 3.1788319996833e-10
4 0 2 3.0657983022143e-10
4 0 2 2.8739368481854e-10
4 0 2 2.8292541590493e-10
4 0 2 2.7844151072253e-10
4 0 2 2.5509034164103e-10
4 0 2 2.4979176050909e-10
4 0 2 2.3755676385455e-10
4 0 2 2.2874573564745e-10
4 0 2 2.2651630997452e-10
4 0 2 2.0892028606115e-10
4 0 2 2.0720382104342e-10
4 0 2 1.9975588091116e-10
4 0 2 1.9039883145051e-10
4 0 2 1.8161732658323e-10
4 0 2 1.7959591640952e-10
4 0 2 1.6768160140729e-10
4 0 2 1.6743654267167e-10
4 0 2 1.6124383127422e-10
4 0 2 1.5909876675243e-10
4 0 2 1.4456569579646e-10
4 0 2 1.4330484220785e-10
4 0 2 1.3720925970561e-10
4 0 2 1.3695180932045e-10
4 0 2 1.2496363769228e-10
